settings: batch_size 30; learning rate 1; momentum: 0.6
==================== vanilla update strategy ====================
Step 10: 114 / 1000
Step 20: 132 / 1000
Step 30: 155 / 1000
Step 40: 171 / 1000
Step 50: 182 / 1000
Step 60: 207 / 1000
Step 70: 227 / 1000
Step 80: 237 / 1000
Step 90: 248 / 1000
Step 100: 268 / 1000
Step 110: 272 / 1000
Step 120: 281 / 1000
Step 130: 286 / 1000
Step 140: 294 / 1000
Step 150: 307 / 1000
Step 160: 322 / 1000
Step 170: 321 / 1000
Step 180: 322 / 1000
Step 190: 334 / 1000
Step 200: 341 / 1000
Step 210: 334 / 1000
Step 220: 348 / 1000
Step 230: 350 / 1000
Step 240: 359 / 1000
Step 250: 368 / 1000
Step 260: 379 / 1000
Step 270: 383 / 1000
Step 280: 385 / 1000
Step 290: 402 / 1000
Step 300: 407 / 1000
Step 310: 423 / 1000
Step 320: 427 / 1000
Step 330: 435 / 1000
Step 340: 430 / 1000
Step 350: 441 / 1000
Step 360: 448 / 1000
Step 370: 453 / 1000
Step 380: 467 / 1000
Step 390: 479 / 1000
Step 400: 476 / 1000
Step 410: 477 / 1000
Step 420: 476 / 1000
Step 430: 486 / 1000
Step 440: 488 / 1000
Step 450: 488 / 1000
Step 460: 495 / 1000
Step 470: 501 / 1000
Step 480: 501 / 1000
Step 490: 502 / 1000
Step 500: 513 / 1000
Step 510: 517 / 1000
Step 520: 519 / 1000
Step 530: 520 / 1000
Step 540: 519 / 1000
Step 550: 523 / 1000
Step 560: 526 / 1000
Step 570: 540 / 1000
Step 580: 540 / 1000
Step 590: 544 / 1000
Step 600: 550 / 1000
Step 610: 553 / 1000
Step 620: 549 / 1000
Step 630: 558 / 1000
Step 640: 554 / 1000
Step 650: 561 / 1000
Step 660: 561 / 1000
Epoch 0: 563 / 1000
Step 670: 568 / 1000
Step 680: 567 / 1000
Step 690: 575 / 1000
Step 700: 574 / 1000
Step 710: 578 / 1000
Step 720: 584 / 1000
Step 730: 585 / 1000
Step 740: 589 / 1000
Step 750: 584 / 1000
Step 760: 588 / 1000
Step 770: 595 / 1000
Step 780: 594 / 1000
Step 790: 593 / 1000
Step 800: 600 / 1000
Step 810: 600 / 1000
Step 820: 602 / 1000
Step 830: 608 / 1000
Step 840: 604 / 1000
Step 850: 604 / 1000
Step 860: 605 / 1000
Step 870: 608 / 1000
Step 880: 614 / 1000
Step 890: 616 / 1000
Step 900: 615 / 1000
Step 910: 616 / 1000
Step 920: 618 / 1000
Step 930: 620 / 1000
Step 940: 628 / 1000
Step 950: 625 / 1000
Step 960: 629 / 1000
Step 970: 625 / 1000
Step 980: 630 / 1000
Step 990: 634 / 1000
Step 1000: 635 / 1000
Step 1010: 637 / 1000
Step 1020: 638 / 1000
Step 1030: 634 / 1000
Step 1040: 634 / 1000
Step 1050: 638 / 1000
Step 1060: 635 / 1000
Step 1070: 650 / 1000
Step 1080: 653 / 1000
Step 1090: 652 / 1000
Step 1100: 656 / 1000
Step 1110: 663 / 1000
Step 1120: 661 / 1000
Step 1130: 654 / 1000
Step 1140: 654 / 1000
Step 1150: 663 / 1000
Step 1160: 661 / 1000
Step 1170: 671 / 1000
Step 1180: 668 / 1000
Step 1190: 671 / 1000
Step 1200: 668 / 1000
Step 1210: 673 / 1000
Step 1220: 678 / 1000
Step 1230: 685 / 1000
Step 1240: 684 / 1000
Step 1250: 685 / 1000
Step 1260: 686 / 1000
Step 1270: 688 / 1000
Step 1280: 686 / 1000
Step 1290: 691 / 1000
Step 1300: 696 / 1000
Step 1310: 702 / 1000
Step 1320: 699 / 1000
Step 1330: 703 / 1000
Epoch 1: 708 / 1000
Evaluation on test: 692 / 1000
==================== standard momentum 0.6 ====================
Step 10: 110 / 1000
Step 20: 197 / 1000
Step 30: 212 / 1000
Step 40: 223 / 1000
Step 50: 245 / 1000
Step 60: 266 / 1000
Step 70: 284 / 1000
Step 80: 298 / 1000
Step 90: 315 / 1000
Step 100: 351 / 1000
Step 110: 366 / 1000
Step 120: 388 / 1000
Step 130: 401 / 1000
Step 140: 408 / 1000
Step 150: 423 / 1000
Step 160: 439 / 1000
Step 170: 464 / 1000
Step 180: 468 / 1000
Step 190: 481 / 1000
Step 200: 498 / 1000
Step 210: 514 / 1000
Step 220: 525 / 1000
Step 230: 525 / 1000
Step 240: 537 / 1000
Step 250: 546 / 1000
Step 260: 563 / 1000
Step 270: 576 / 1000
Step 280: 572 / 1000
Step 290: 580 / 1000
Step 300: 591 / 1000
Step 310: 592 / 1000
Step 320: 591 / 1000
Step 330: 610 / 1000
Step 340: 607 / 1000
Step 350: 606 / 1000
Step 360: 609 / 1000
Step 370: 621 / 1000
Step 380: 619 / 1000
Step 390: 630 / 1000
Step 400: 631 / 1000
Step 410: 631 / 1000
Step 420: 632 / 1000
Step 430: 646 / 1000
Step 440: 645 / 1000
Step 450: 654 / 1000
Step 460: 648 / 1000
Step 470: 654 / 1000
Step 480: 656 / 1000
Step 490: 660 / 1000
Step 500: 652 / 1000
Step 510: 656 / 1000
Step 520: 665 / 1000
Step 530: 659 / 1000
Step 540: 653 / 1000
Step 550: 663 / 1000
Step 560: 670 / 1000
Step 570: 673 / 1000
Step 580: 680 / 1000
Step 590: 681 / 1000
Step 600: 690 / 1000
Step 610: 684 / 1000
Step 620: 692 / 1000
Step 630: 687 / 1000
Step 640: 697 / 1000
Step 650: 694 / 1000
Step 660: 694 / 1000
Epoch 0: 692 / 1000
Step 670: 695 / 1000
Step 680: 695 / 1000
Step 690: 703 / 1000
Step 700: 705 / 1000
Step 710: 709 / 1000
Step 720: 716 / 1000
Step 730: 707 / 1000
Step 740: 717 / 1000
Step 750: 725 / 1000
Step 760: 707 / 1000
Step 770: 716 / 1000
Step 780: 729 / 1000
Step 790: 728 / 1000
Step 800: 739 / 1000
Step 810: 743 / 1000
Step 820: 743 / 1000
Step 830: 742 / 1000
Step 840: 743 / 1000
Step 850: 760 / 1000
Step 860: 758 / 1000
Step 870: 760 / 1000
Step 880: 766 / 1000
Step 890: 762 / 1000
Step 900: 769 / 1000
Step 910: 776 / 1000
Step 920: 770 / 1000
Step 930: 776 / 1000
Step 940: 774 / 1000
Step 950: 783 / 1000
Step 960: 787 / 1000
Step 970: 781 / 1000
Step 980: 788 / 1000
Step 990: 787 / 1000
Step 1000: 793 / 1000
Step 1010: 792 / 1000
Step 1020: 791 / 1000
Step 1030: 786 / 1000
Step 1040: 787 / 1000
Step 1050: 800 / 1000
Step 1060: 795 / 1000
Step 1070: 800 / 1000
Step 1080: 801 / 1000
Step 1090: 796 / 1000
Step 1100: 803 / 1000
Step 1110: 804 / 1000
Step 1120: 806 / 1000
Step 1130: 800 / 1000
Step 1140: 807 / 1000
Step 1150: 814 / 1000
Step 1160: 813 / 1000
Step 1170: 818 / 1000
Step 1180: 813 / 1000
Step 1190: 817 / 1000
Step 1200: 815 / 1000
Step 1210: 819 / 1000
Step 1220: 819 / 1000
Step 1230: 820 / 1000
Step 1240: 824 / 1000
Step 1250: 821 / 1000
Step 1260: 823 / 1000
Step 1270: 823 / 1000
Step 1280: 822 / 1000
Step 1290: 820 / 1000
Step 1300: 827 / 1000
Step 1310: 821 / 1000
Step 1320: 824 / 1000
Step 1330: 827 / 1000
Epoch 1: 826 / 1000
Evaluation on test: 814 / 1000
==================== nesterov SGD  0.6 ====================
Step 10: 126 / 1000
Step 20: 194 / 1000
Step 30: 222 / 1000
Step 40: 239 / 1000
Step 50: 257 / 1000
Step 60: 284 / 1000
Step 70: 300 / 1000
Step 80: 321 / 1000
Step 90: 330 / 1000
Step 100: 354 / 1000
Step 110: 370 / 1000
Step 120: 381 / 1000
Step 130: 405 / 1000
Step 140: 419 / 1000
Step 150: 425 / 1000
Step 160: 445 / 1000
Step 170: 456 / 1000
Step 180: 466 / 1000
Step 190: 477 / 1000
Step 200: 484 / 1000
Step 210: 493 / 1000
Step 220: 510 / 1000
Step 230: 517 / 1000
Step 240: 514 / 1000
Step 250: 521 / 1000
Step 260: 520 / 1000
Step 270: 522 / 1000
Step 280: 543 / 1000
Step 290: 547 / 1000
Step 300: 568 / 1000
Step 310: 569 / 1000
Step 320: 573 / 1000
Step 330: 581 / 1000
Step 340: 574 / 1000
Step 350: 594 / 1000
Step 360: 604 / 1000
Step 370: 615 / 1000
Step 380: 618 / 1000
Step 390: 624 / 1000
Step 400: 625 / 1000
Step 410: 631 / 1000
Step 420: 635 / 1000
Step 430: 630 / 1000
Step 440: 634 / 1000
Step 450: 636 / 1000
Step 460: 641 / 1000
Step 470: 647 / 1000
Step 480: 634 / 1000
Step 490: 646 / 1000
Step 500: 646 / 1000
Step 510: 658 / 1000
Step 520: 666 / 1000
Step 530: 670 / 1000
Step 540: 665 / 1000
Step 550: 673 / 1000
Step 560: 679 / 1000
Step 570: 677 / 1000
Step 580: 690 / 1000
Step 590: 689 / 1000
Step 600: 696 / 1000
Step 610: 694 / 1000
Step 620: 696 / 1000
Step 630: 704 / 1000
Step 640: 715 / 1000
Step 650: 711 / 1000
Step 660: 715 / 1000
Epoch 0: 727 / 1000
Step 670: 726 / 1000
Step 680: 725 / 1000
Step 690: 723 / 1000
Step 700: 732 / 1000
Step 710: 729 / 1000
Step 720: 729 / 1000
Step 730: 735 / 1000
Step 740: 737 / 1000
Step 750: 732 / 1000
Step 760: 747 / 1000
Step 770: 759 / 1000
Step 780: 762 / 1000
Step 790: 759 / 1000
Step 800: 762 / 1000
Step 810: 774 / 1000
Step 820: 764 / 1000
Step 830: 766 / 1000
Step 840: 768 / 1000
Step 850: 767 / 1000
Step 860: 775 / 1000
Step 870: 784 / 1000
Step 880: 785 / 1000
Step 890: 788 / 1000
Step 900: 794 / 1000
Step 910: 789 / 1000
Step 920: 789 / 1000
Step 930: 788 / 1000
Step 940: 783 / 1000
Step 950: 794 / 1000
Step 960: 783 / 1000
Step 970: 790 / 1000
Step 980: 798 / 1000
Step 990: 800 / 1000
Step 1000: 793 / 1000
Step 1010: 793 / 1000
Step 1020: 802 / 1000
Step 1030: 812 / 1000
Step 1040: 799 / 1000
Step 1050: 802 / 1000
Step 1060: 804 / 1000
Step 1070: 807 / 1000
Step 1080: 807 / 1000
Step 1090: 808 / 1000
Step 1100: 809 / 1000
Step 1110: 818 / 1000
Step 1120: 809 / 1000
Step 1130: 815 / 1000
Step 1140: 813 / 1000
Step 1150: 815 / 1000
Step 1160: 818 / 1000
Step 1170: 821 / 1000
Step 1180: 823 / 1000
Step 1190: 819 / 1000
Step 1200: 814 / 1000
Step 1210: 824 / 1000
Step 1220: 818 / 1000
Step 1230: 820 / 1000
Step 1240: 823 / 1000
Step 1250: 820 / 1000
Step 1260: 823 / 1000
Step 1270: 820 / 1000
Step 1280: 825 / 1000
Step 1290: 823 / 1000
Step 1300: 820 / 1000
Step 1310: 821 / 1000
Step 1320: 819 / 1000
Step 1330: 821 / 1000
Epoch 1: 817 / 1000
