momentum 0.9 lambda 100.0
Step 50: 96 / 1000
Epoch 0: 96 / 1000
Step 100: 252 / 1000
Epoch 1: 252 / 1000
Step 150: 268 / 1000
Epoch 2: 268 / 1000
Step 200: 270 / 1000
Epoch 3: 270 / 1000
Step 250: 275 / 1000
Epoch 4: 275 / 1000
Step 300: 269 / 1000
Epoch 5: 269 / 1000
Step 350: 279 / 1000
Epoch 6: 279 / 1000
Step 400: 248 / 1000
Epoch 7: 248 / 1000
Step 450: 248 / 1000
Epoch 8: 248 / 1000
Step 500: 272 / 1000
Epoch 9: 272 / 1000
Step 550: 265 / 1000
Epoch 10: 265 / 1000
Step 600: 264 / 1000
Epoch 11: 264 / 1000
Step 650: 271 / 1000
Epoch 12: 271 / 1000
Step 700: 273 / 1000
Epoch 13: 273 / 1000
Step 750: 265 / 1000
Epoch 14: 265 / 1000
Step 800: 266 / 1000
Epoch 15: 266 / 1000
Step 850: 279 / 1000
Epoch 16: 279 / 1000
Step 900: 267 / 1000
Epoch 17: 267 / 1000
Step 950: 262 / 1000
Epoch 18: 262 / 1000
Step 1000: 287 / 1000
Epoch 19: 287 / 1000
Step 1050: 284 / 1000
Epoch 20: 284 / 1000
Step 1100: 260 / 1000
Epoch 21: 260 / 1000
Step 1150: 279 / 1000
Epoch 22: 279 / 1000
Step 1200: 293 / 1000
Epoch 23: 293 / 1000
Step 1250: 270 / 1000
Epoch 24: 270 / 1000
Step 1300: 272 / 1000
Epoch 25: 272 / 1000
Step 1350: 282 / 1000
Epoch 26: 282 / 1000
Step 1400: 278 / 1000
Epoch 27: 278 / 1000
Step 1450: 288 / 1000
Epoch 28: 288 / 1000
Step 1500: 286 / 1000
Epoch 29: 286 / 1000
Evaluation on test 311 / 1000
